org_name,token
bitcoin,BTC
dogecoin,DOGE
ethereum,ETH
cardano-foundation,ADA
shibaswaparmy,SHIB
litecoin-project,LTC
XRPLF,XRP
safemoonprotocol,SAFEMOON
monero-project,XMR
vechain,VET
stellar,XLM
solana-labs,SOL
iotaledger,MIOTA
tronprotocol,TRX
nord-finance,XNO
kucoin-community-chain,KCS
neo-project,NEO
loopring,LOOP
axieinfinity,AXS
helium,HNT
EOSIO,EOS
Bitcoin-ABC,BCH
brave-intl,BAT
decentraland,MANA
lunarcrush,LUNC
pancakeswap,CAKE
paritytech,DOT
smartcontractkit,LINK
algorand,ALGO
cosmos,ATOM
tezos,XTZ
ethereumclassic,ETC
RavenProject,RVN
Uniswap,UNI
wavesplatform,WAVES
bananocoin,BAN
harmony-one,ONE
dogelon,ELON
Chia-Network,XCH
enjin,ENJ
amptoken,AMP
dashpay,DASH
zilliqa,ZIL
avalabs,AVAX
Fantom-Foundation,FTM
BitTorrent,BTT
icon-project,ICX
makerdao,DAI
makerdao,MKR
aelfproject,ELF
nexofinance,NEXO
gateio,GT
crypto-com,CRO
thetatoken,THETA
chiliz,CHZ
dfinity,ICP
holochain,HOT
hashgraph,HBAR
ArkEcosystem,ARK
NemProject,NEM
zcash,ZEC
graphprotocol,GRT
SoMee-Social,ONG
gemini,GUSD
ergoplatform,ERG
maticnetwork,MATIC
nervosnetwork,CKB
qtumproject,QTUM
sandbox-game,SAND
elrondnetwork,EGLD
filecoin-project,FIL
kadena-io,KDA
quantnetwork,QNT
MinaProtocol,MINA
huobi-group,HT
decred,DCR
kusama,KSM
thorchain,RUNE
near,NEAR
tethercoin,USDT
compound-finance,COMP
XinFinorg,XDC
ApeSwapFinance,APE
stacks-network,STX
omgnetwork,OMG
ArweaveTeam,AR
